0, 4760, "show you that this form is generated with the backend code."
4760, 6240, "The form is generated based"
6240, 8920, "on the backend function just by providing the right"
8920, 10960, "arguments. Another cool thing is"
10960, 15340, "asset upload. That's also included in type repo. If you"
15340, 16920, "provide an argument that ends"
16920, 21580, "with a certain suffix like image and if you provide the"
21580, 24480, "right type, it will become a picture"
24480, 28500, "upload in the form. You can select an image or you can take"
28500, 30560, "a picture here. Let's take"
30560, 38540, "a picture. I'm not going to show my camera. And after the"
38540, 39760, "picture has been taken and"
39760, 45610, "you start uploading, please note there is no code required"
45610, 48240, "for you at the front end. At"
48240, 51580, "the backend, there's also very little code required. All"
51580, 53040, "you need to do is this one line"
53040, 58790, "of code to process your assets and put it in the right"
58790, 61040, "place. You just take it and you"
61040, 66690, "process it and then you can put it wherever you want. So,"
66690, 68680, "asset upload has never been"
68680, 69440, "so easy."
69440, 71680, "(clicking)"
