0, 4450, "is that you can automatically generate documentation of"
4450, 7440, "your code. When you write"
7440, 11520, "your code anywhere in your code base and you provide"
11520, 13880, "documents, the documentation"
13880, 17470, "will be generated for those functions based on the"
17470, 21040, "documents. Whenever you put"
21040, 26840, "a docs folder in your package, this will also end up in the"
26840, 28680, "Readme. So when you"
28680, 34720, "are done writing your documentation, all you need to do is"
34720, 35360, "rebuild the"
35360, 39720, "operation with the rebuild operation command and within a"
39720, 40920, "minute your docs"
40920, 46120, "will be generated and it will look something like this."
46120, 56470, "This is the best way to generate docs I think because it"
56470, 58320, "really removes the"
58320, 62770, "need for doing it manually and it saves you a lot of time"
62770, 64600, "while keeping the docs"
64600, 68480, "always up to date with your code base."
